st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
TK284,1,1,1,1-2 hours,9-Aug,9,6,0.1714286,0.3,-1.265809,-1.033412,-0.4065548,-0.2318161,1,1,1,1,1,0,0,1,.,9-Aug,19,17,0.4857143,0.6333333,0.4414599,0.4271662,0.419842,0.4158457,1,Tekhand,13,1,9,1,14,-0.1736712,0,0,0,0,0,1
TK285,1,1,1,More than 4 hours,9-Aug,11,8,0.2285714,0.3666667,0.0353175,0.0830786,0.2405906,0.3411152,1,2,3,1,2,,,,.,,,,,,,,,,,Tekhand,14,0,9,0,12,0.8672516,0,0,0,0,0,1
TK286,1,1,1,More than 4 hours,9-Aug,12,8,0.2285714,0.4,-0.8729105,-0.5797077,-0.6917607,-0.5494578,1,1,1,1,1,,,,.,,,,,,,,,,,Tekhand,12,1,8,1,15,1.623184,0,0,0,0,1,0
TK287,1,1,1,More than 4 hours,7-Jun,12,11,0.3142857,0.4,0.2487965,0.2731632,-0.1560069,-0.0499225,1,4,3,2,2,1,0,0,Less than 1 hour,7-Apr,18,17,0.5,0.6,0.7291543,0.6266857,0.6819901,0.6296903,1,Tekhand,13,1,7,1,15,-1.337381,0,0,0,1,0,0
TK288,1,1,1,More than 4 hours,9-Aug,8,8,0.2285714,0.2666667,0.1350822,0.157245,-0.3816217,-0.2227829,1,3,2,2,1,0,1,0,.,9-Aug,16,19,0.5428572,0.5333334,1.017479,0.8284007,0.0558212,0.1101674,1,Tekhand,13,1,8,0,15,-0.5322324,0,0,0,0,1,0
TK289,0,0,0,.,9-Aug,17,9,0.2571429,0.5666667,0.2132348,0.2202327,1.143605,0.9678053,0,2,4,2,3,0,0,1,.,9-Aug,22,19,0.5428572,0.7333333,1.116848,0.8820475,1.479354,1.352833,1,Tekhand,14,1,9,1,16,0.1241006,0,0,0,0,0,1
TK290,0,0,0,.,9-Aug,6,12,0.3428572,0.2,-0.0813202,-0.0996586,-0.4952537,-0.251173,0,2,2,1,1,0,0,1,.,9-Aug,12,0,0,0.4,,,-1.039464,-0.7746896,1,Tekhand,13,1,8,1,18,0.1241006,0,0,0,0,1,0
TK291,0,0,0,.,7-Jun,19,17,0.4857143,0.6333333,1.147618,0.9739807,0.8595335,0.7298215,0,5,5,3,3,0,0,1,.,7-Apr,23,23,0.6764706,0.7666667,1.427757,1.064809,1.522298,1.29758,1,Tekhand,11,1,7,0,17,-1.635152,0,0,0,1,0,0
TK292,1,1,1,2-3 hours,7-Jun,16,16,0.4571429,0.5333334,0.8963271,0.7821922,0.3111623,0.3345048,1,5,4,3,2,0,0,1,.,9-Aug,18,18,0.5142857,0.6,0.7212673,0.6341798,0.4639445,0.4145802,1,Tekhand,12,1,7,1,14,-2.847212,0,0,0,1,0,0
TK295,1,1,0,3-4 hours,9-Aug,7,4,0.1142857,0.2333333,-0.5397859,-0.2945768,-0.4578421,-0.2400263,1,2,2,1,1,0,0,1,.,9-Aug,12,11,0.3142857,0.4,-0.3636396,-0.1407448,-0.1336364,-0.0522074,1,Tekhand,14,1,8,1,17,-0.5715376,0,0,0,0,1,0
